1|1|African American (black)|1
2|1|American Indian|2
3|1|Caucasian (white)|3
4|1|Chinese|4
5|1|East Indian|5
6|1|Filipino|6
7|1|Hispanic/Latino|7
8|1|Japanese|8
9|1|Korean|9
10|1|Middle Eastern|10
11|1|Native American|11
12|1|Native Hawaiian|12
13|1|Pacific Islander|13
14|1|Samoan|14
15|1|Thai|15
16|1|Vietnamese|16
17|1|Other Asian|17
18|1|Other|18
19|2|Alone|1
20|2|With kids|2
21|2|With parents|3
22|2|With pets|4
23|2|With roommate(s)|5
24|3|No|1
25|3|Socially|2
26|3|Daily|3
27|3|A few times a week|4
28|3|A few times a Month|5
29|4|Full-time|1
30|4|Part-time|2
31|4|Homemaker|3
32|4|Retired|4
33|4|Self-employed|5
34|4|Student|6
35|4|Unemployed|7
36|4|Work at home|8
37|5|Some High SChool|1
38|5|High School Graduate|2
39|5|Some Collage|3
40|5|Collage Graduate|4
41|5|Technical/Trade School|5
42|5|Post-Graduate|6
43|6|No|1
44|6|Yes: at home full-time|2
45|6|Yes: at home part-time|3
46|6|Yes: not at home|4
47|7|No|1
48|7|Yes|2
49|7|Maybe|3
50|8|Slim|1
51|8|Average|2
52|8|Athletic|3
53|8|Fit|4
54|8|Thick|5
55|8|A few extra pounds|6
56|8|Large|7
57|8|Voluptuous|8
58|9|Black|1
59|9|Blue|2
60|9|Brown|3
61|9|Gray|4
62|9|Green|5
63|9|Hazel|6
64|9|Blodshot|7
65|10|Auburn|1
66|10|Black|2
67|10|Blonde|3
68|10|Dirty Blond|4
69|10|Light Brown|5
70|10|Dark Brown|6
71|10|Red|7
72|10|White/gray|8
73|10|Bald|9
74|10|A little gray|10
75|11|Single|1
76|11|Divorced|2
77|11|Widowed|3
78|11|Seperated|4
79|11|It's Complicated|5
80|12|Artistic / Musical / Writer|1
81|12|Banking / Financial Services|2
82|12|Real Estate|3
83|12|Clerical / Administrative|4
84|12|Computer related / Hardware|5
85|12|Computer related / Software|6
86|12|Computer related / Design|7
87|12|Construction / Craftsman|8
88|12|Construction / Craftsman|9
89|12|Education / Academic Research|10
90|12|Entertainment / Media|11
91|12|Executive / Management|12
92|12|Hospitality / Travel|13
93|12|Legal Services|14
94|12|Manufacturing / Distributions|15
95|12|Medical / Health Services|16
96|12|Politics / Government / Military|17
97|12|Sales / Marketing|18
98|12|Technical / Science / Engineering|19
99|12|Transportation|20
100|12|Food Service|21
101|12|Other|22
102|13|Less than $25,000|1
103|13|$35,000|2
104|13|$50,000|3
105|13|$75,000|4
106|13|$100,000|5
107|13|$150.000|6
108|13|$200,000|7
109|14|No|1
110|14|Socially|2
111|14|Daily|3
112|15|Buddhist|1
113|15|Taoist|2
114|15|Christian|3
115|15|Christian / Protestant|4
116|15|Christian / Catholic"|6
117|15|Christian / LDS|7
118|15|Christian / Other|8
119|15|Hindu|9
120|15|Jewish|10
121|15|Islam|11
122|15|None/Agnostic|12
123|15|Atheist|13
124|15|Not Religious|14
125|15|Spiritual but not religious|15
126|15|Scientology|16
127|15|Pagen|17
128|15|Wiccan|18
129|15|Other|9
130|16|Very conservative|1
131|16|Conservative|2
132|16|Middle of the road|3
133|16|Liberal|4
134|16|Very liberal|5
135|16|Not political|6
136|17|English|1
137|17|French|2
138|17|German|3
139|17|Italian|4
140|17|Spanish|5
141|17|Portuguese|6
142|17|Dutch|7
143|17|Chinese|8
144|17|Japanese|9
145|17|Arabic|10
146|17|Russian|11
147|17|Hebrew|12
148|17|Hindi|13
149|17|Tagalog|14
150|17|Urdu|15
